0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1006.8493041992188,630.519287109375,420.90045166015625,277.83013916015625,473.5113220214844,407.54510498046875,593.3963623046875,291.04217529296875,519.4339599609375,239.2561492919922,439.3018493652344,471.3321533203125,428.3412780761719,312.46826171875,774.6047973632812,390.7913513183594,490.565673828125,298.11181640625,461.74249267578125,432.7615661621094,525.3092651367188,294.7568359375,471.8092956542969,364.721435546875,579.1410522460938,297.6495666503906
995.8734130859375,641.4345703125,418.0033264160156,291.5075378417969,,,579.4820556640625,188.2131805419922,618.8296508789062,382.29449462890625,455.8667907714844,317.8805236816406,461.7584228515625,292.4478454589844,279.469482421875,308.7490539550781,454.64385986328125,293.9708557128906,429.7880554199219,398.4481201171875,482.77740478515625,254.2283172607422,821.1676025390625,333.5979919433594,,
506.73748779296875,293.7916564941406,425.4341735839844,264.48614501953125,,,593.169921875,290.8839111328125,,,426.41131591796875,417.241943359375,139.73614501953125,127.3608627319336,767.0244750976562,380.26751708984375,,,417.54876708984375,359.4710388183594,515.6079711914062,265.2370910644531,407.6567687988281,284.3760986328125,,
,,410.0421142578125,272.8880310058594,,,572.5751342773438,272.93487548828125,,,467.735595703125,474.4803161621094,450.6282653808594,291.4040222167969,718.5,361.1752014160156,,,,,544.7899780273438,271.1685791015625,323.14837646484375,379.3105163574219,,
,,,,,,556.36572265625,267.4139099121094,,,439.4540100097656,471.481689453125,300.8567199707031,84.41007995605469,763.1101684570312,405.35113525390625,,,,,,,217.01605224609375,234.87078857421875,,
,,,,,,579.5713500976562,188.03543090820312,,,482.907958984375,338.55657958984375,80.01136016845703,614.4242553710938,774.6099853515625,390.8379821777344,,,,,,,,,,
,,,,,,,,,,455.60308837890625,317.6742248535156,,,725.1629028320312,374.4137268066406,,,,,,,,,,
,,,,,,,,,,,,,,718.7000122070312,360.9791564941406,,,,,,,,,,
,,,,,,,,,,,,,,279.5489196777344,308.8421325683594,,,,,,,,,,
,,,,,,,,,,,,,,255.91246032714844,300.5545959472656,,,,,,,,,,
,,,,,,,,,,,,,,246.5371856689453,280.7724304199219,,,,,,,,,,
,,,,,,,,,,,,,,311.46307373046875,234.5547637939453,,,,,,,,,,
